CASE9;D1.1;Endoszkópos orvos 1;Éppen most közelítettük meg a felszálló vastagbelet, és azonosítottuk a nagy, szesszilis polipot.
CASE9;D1.2;Endoszkópos orvos 1;A képernyő közepén egy tipikus tubulovillosus adenoma látható. Mindenki látja? Most az a fontos, hogy a legjobb kezelési lehetőséget válasszuk. Az elváltozás jóindulatú, ezért endoszkópos nyálkahártya-eltávolítást végzünk.
CASE9;D1.1.1;Endoszkópos orvos 1;Zavarlak benneteket, srácok?
CASE9;D1.1.1.1;Tanuló 1;Elnézést, de megbeszéltük az esetet.
CASE9;D1.1.2;Endoszkópos orvos 1;Diákok, kérem, figyeljetek az előadásomra. A vizsga után mindent részletesen meg fogunk beszélni.
CASE9;D1.1.3;Endoszkópos orvos 1;Azonnal fogd be a szád, vagy kirúglak a szobából.
CASE9;D1.1.4;Endoszkópos orvos 1;Azonnal hagyd abba a beszélgetést, és figyelj rám. Később nem fogok neked semmit sem magyarázni, és ellenőrizni foglak.
CASE9;D2.1;Endoszkópos orvos 1;Most már hallgatni kell, és nem vitatkozni!
CASE9;D2.2;Endoszkópos nővér;A beteg nyugtalanná válik.
CASE9;D2.1.1;Endoszkópos orvos 1;Kérem, nyugodjon meg, amikor tanítom a diákokat.
CASE9;D2.1.2;Endoszkópos orvos 1;Kérjük, a tervnek megfelelően adjon premedikációt a betegnek.
CASE9;D2.1.2.1;Endoszkópos orvos 1;Az eljárás során megfelelő fájdalomcsillapítást kell fenntartani, hogy a beteg ne érezzen fájdalmat.
CASE9;D2.1.3;Endoszkópos orvos 1;Hát, elképesztő, ha nem mondtad volna el, nem tudtam volna. Örülök, hogy végre észrevetted a beteget.
CASE9;D2.1.4;Endoszkópos orvos 1;Rendben. Köszönöm a tájékoztatást.
CASE9;D2.1.4.2;Endoszkópos orvos 1;Érez fájdalmat? Szeretne fájdalomcsillapítót kapni?
CASE9;D2.1.4.3;Beteg;Köszönöm, doktor úr, még nem, kérem, folytassa.
CASE9;D3.1;Endoszkópos nővér;Ne idegesítse tovább az orvost, különben valami baj lesz.
CASE9;D4.1;Endoszkópos orvos 1;Befecskendező.
CASE9;D4.2;Endoszkópos orvos 1;Submucosalis injekció.
CASE9;D4.3;Endoszkópos orvos 1;Polipektómiás hurok.
CASE9;D4.4;Endoszkópos orvos 1;Az ér megrepedt, látom az erős vérzést, add a csipeszt. Gyorsan!
CASE9;D4.5;Tanuló;Valami baj van? Elmagyarázná nekünk, hogy mi a probléma?
CASE9;D4.6;Tanuló 2;Veszélyes? Hogyan lehet megállítani ennek a vérzésnek az erősségét?
CASE9;D4.7;Beteg;Bocsánat, van valami probléma?
CASE9;D4.1.1;Endoszkópos orvos 1;Kérem, adja ide ezeket a csipeszeket.
CASE9;D4.1.1.1;Endoszkópos orvos 1;Ne aggódjon, mindent meg fogunk oldani, a polip intenzíven vérezni kezdett, de meg fogjuk állítani.
CASE9;D4.1.1.2;Endoszkópos orvos 1;Várjon egy pillanatot, kérem.
CASE9;D4.1.1.3;Endoszkópos orvos 1;Kérjük, most vegye át a diákokkal való kommunikációt
CASE9;D4.1.2;Endoszkópos orvos 1;Azonnal hagyják abba a beszélgetést! Nem hallom a saját szavaimat.
CASE9;D4.1.2.1;Endoszkópos orvos 1;Azonnal adjátok ide a Coagrasper fogót!!!
CASE9;D4.1.3.1;Endoszkópos orvos 1;Kérem, vegye át a diákokkal való kommunikációt, és magyarázza el a helyzetet.
CASE9;D4.1.4;Endoszkópos orvos 1;Kérem, maradjanak csendben, mindjárt mindent megbeszélünk.
CASE9;D6.1;Endoszkópos orvos 1;Ideadnád gyorsan azokat a koaguláló fogókat? Elárasztja a vér, és nem látok semmit.
CASE9;D6.2;Beteg;Sajnálom, de attól tartok, hogy ez nem fog jól végződni.
CASE9;D6.3;Endoszkópos orvos 2;Láthatja, hogy a látási viszonyok most nem ideálisak, és nagy problémánk lesz a kezelésével.
CASE9;D6.4;Tanuló;Szükség lesz a műtétre?
CASE9;D6.1.1;Endoszkópos orvos 1;Nem akartam ezt! Mit adsz át nekem?!
CASE9;D6.1.2;Endoszkópos orvos 1;Tudna neki segíteni kérem vérzéscsillapítófogóval?
CASE9;D6.1.3;Endoszkópos orvos 1;Kérem, segítsen a nővérnek megtalálni a megfelelő eszközt.
CASE9;D6.1.3.1;Endoszkópos orvos 1;Kérem, egyelőre hallgasson, majd később mindent elmagyarázok.
CASE9;D6.1.4.2;Endoszkópos orvos 1;Ne aggódjon, mindent kézben tartunk.
CASE9;D7.1;Endoszkópos nővér;Sajnálom, nagyon sajnálom. Nem értem, mi folyik itt, velem még soha nem történt ilyen.
CASE9;D8.1;Endoszkópos orvos 1;Oké, most állítottuk el a vérzést, most be kell fejeznünk a mucosectomiát.
CASE9;D8.2;Titkárnő;Sajnálom, de a recepciónál van egy másik csoport diák, akik szeretnék látni ezt az endoszkópiát. Beengedhetem őket?
CASE9;D8.1.1;Endoszkópos orvos 1;Természetesen ez nem probléma.
CASE9;D8.1.1.1;Endoszkópos orvos 1;Kérem, mozogjon egy kicsit.
CASE9;D8.1.2;Endoszkópos orvos 1;Biztos megőrült! Nem látja, mennyi munkám van itt? Menjen el azonnal, és rendezze el másképp!
CASE9;D8.1.3;Endoszkópos orvos 1;Nem!
CASE9;D8.1.4;Endoszkópos orvos 1;Sajnálom, de ez most nem alkalmas, kérem, kérjen időpontot kollégámtól, Dr. Smith-től.
CASE9;D9.1;Endoszkópos orvos 1;Szóval, épp most fejeztük be.
CASE9;D9.1.1;Endoszkópos orvos 1;Megtörtént, az elváltozást eltávolítottuk, a szövettani vizsgálat eredményével tájékoztatjuk Önt a további lépésekről.
CASE9;D9.1.1.1;Endoszkópos orvos 1;Érdekes előadást láttak, most pedig írok egy vizsgajelentést. Menjen és várjon meg a szemináriumi teremben, mindjárt jövök, és megbeszéljük mindazt, amit látott.
CASE9;D9.1.1.2;Endoszkópos orvos 1;Köszönöm a segítségét kolléga, ha bármilyen kétértelműség van, később megbeszéljük.
CASE9;D9.1.1.3;Endoszkópos orvos 1;Köszönjük a segítségét, végül is jól csináltuk, kérem, vegye pozitívan, az ember tanul a hibákból.
CASE9;D9.1.2;Endoszkópos orvos 1;Mindenkinek köszönöm.
CASE9;D9.1.4.2;Beteg;Minden rendben van, ne aggódjon.
CASE9;D9.1.4.3;Endoszkópos orvos 1;Érdekes előadást látott, remélem, minden lépésemre emlékezni fog.
