CASE7;S1A;NARRADOR;Všichni členové operačního týmu jsou na svých místech, hlavní chirurg úspěšně dokončil žaludeční sekci. Nyní je potřeba zahájit jejuno-jenuální anastomozu. Hlavní chirurg požádá o stapler se žlutým nábojem. Instrumentářka i sálová sestra zjistí, že již není žádný k dispozici. 
CASE7;D1A.1;NARRADOR;Dejte mi prosím stapler se žlutým nábojem. 
CASE7;D1A.2;NARRADOR;Je mi líto, ale žádný zde již není. 
CASE7;D1A.3;NARRADOR;Půjdu zkontrolovat do skladu, jestli nějaký máme. 
CASE7;D1A.1.1;NARRADOR;Nedá se nic dělat, musíme se s tím vypořádat. 
CASE7;D1A.1.1.1;NARRADOR;Je mi to líto, ale žádné už nemáme.  Museli bychom zavolat do nejbližší nemocnice.
CASE7;D1A.1.2;NARRADOR;Jak se to mohlo stát? Znáte své povinnosti?
CASE7;D1A.1.3;NARRADOR;Výborně, teď musím řešit další problém. Jako by mi nestačila práce okolo pacienta. 
CASE7;D1A.1.4;NARRADOR;To je neuvěřitelné! S takovým týmem není možné pracovat!
CASE7;D1B;NARRADOR;Nemůžete s námi takto mluvit. I kdyby jste byl stokrát šéfchirurg nedává vám to právo na takové chování.  
CASE7;D1B.1	;NARRADOR;Dobře, ale to není poprvé co se to stalo. Před začátkem operace si přece musíte ověřit, že je dost materiálu. 
CASE7;D1B.1.1;NARRADOR;To je pravda, ale my jsme si bohužel špatně přečetli identifikační číslo. 
CASE7;D1B.1.2;NARRADOR;Je mi líto, ale žádný tam není. Pokud chceme nějaký sehnat, budeme muset zavolat do nejbližší nemocnice. 
CASE7;D1B.2;NARRADOR;Máte pravdu, ztratil jsem nervy, ale tohle není poprvé, co takovou situaci řešíme. Před začátkem operace si musíte být jisti, že je vše potřebné k dispozici. 
CASE7;D1B.2.1;NARRADOR;Od teď to vždy budeme prověřovat. 
CASE7;D1B.3;NARRADOR;To je váš názor ...
CASE7;D1B.4;NARRADOR;Možná máte pravdu, ale musíte se smířit s tím, že jsem tady šéfem já. 
CASE7;D1B.4.2;NARRADOR;Okamžitě volejte a sežeňte potřebný náboj co nejdříve. 
CASE7;D2;NARRADOR;Co dál? Budeme pokračovat v operaci, nebo bychom měli zavolat do jiné nemocnice ohledně náboje ? 
CASE7;D2.1;NARRADOR;Budeme pokračovat, použiji fialový náboj. 
CASE7;D2.2;NARRADOR;Budeme pokračovat laparoskopicky a udělám suturu manuálně. 
CASE7;D2.3;NARRADOR;Operaci konvertuji na otevřený přístup a suturu udělám manuálně. 
CASE7;D2.4;NARRADOR;Takto nemůžeme pokračovat, okamžitě volejte a rychle sežeňte potřebné náboje.
